CountryCode,Country,SeriesCode,MDG,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,
72,Botswana,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,12.0,14.6,8.4,8.4,5.4,6.8,2.6,2.6,2.5,4.0,3.6,5.1,2.7,1.9,0.7,0.6,0.3,0.0,0.0,0.0,0.0,0.0, , , 
76,Brazil,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,8538.8,8503.6,8933.6,9817.8,10778.2,10895.7,10872.0,9809.7,9542.9,11612.0,9275.1,6230.9,3000.6,3224.3,1870.5,967.2,376.8,305.3,284.3,46.9,-13.8,0.0,0.0,0.0, , , 
92,British Virgin Islands,649,N,Consumption of ozone-depleting CFCs in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
96,Brunei Darussalam,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,58.6,81.2,63.3,64.6,80.1,90.0,63.5,36.7,46.6,31.4,43.4,32.3,60.2,39.0,27.8,9.9,2.4,0.5,0.0,0.0,0.0,0.0, , , 
100,Bulgaria,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,2034.0,1556.0,1279.0,690.2,684.0,322.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,, , , 
854,Burkina Faso,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,27.8,29.2,29.2,30.6,33.6,33.6,37.6,37.6,37.0,30.6,25.4,19.6,16.3,13.2,10.5,7.4,5.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0, , , 
108,Burundi,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,43.0,45.6,48.2,,,56.2,58.8,61.9,64.5,59.6,53.8,46.5,19.1,9.2,3.9,3.5,3.5,3.1,1.0,0.4,0.0,0.0,0.0,0.0, , , 
116,Cambodia,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,,,94.2,94.2,94.2,94.2,94.2,94.2,94.2,94.2,86.7,70.4,44.5,28.3,11.6,1.4,0.0,0.0,0.0,0.0,0.0, , , 
120,Cameroon,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,77.7,66.5,63.7,156.6,156.6,230.7,280.4,259.5,311.8,361.5,368.7,364.1,226.0,220.5,148.5,120.0,103.0,25.0,17.0,-1.5,-6.0,-8.0,-11.0,0.0, , , 
124,Canada,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,13173.6,8819.4,10746.8,4521.0,4852.8,4816.4,128.8,136.2,42.2,-4.8,10.1,0.1,-12.6,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , , 
132,Cape Verde,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,2.2,2.1,2.2,2.3,2.3,2.4,2.3,2.2,2.1,2.0,1.9,1.9,1.8,1.8,1.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , , 
136,Cayman Islands,649,N,Consumption of ozone-depleting CFCs in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
140,Central African Republic,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,42.8,44.5,31.2,31.2,27.3,6.4,0.0,7.0,1.4,4.3,4.0,4.4,4.1,3.9,2.6,2.0,1.3,0.0,0.0,0.0,0.0,0.0,, , , 
148,Chad,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,26.1,28.5,29.9,31.2,31.6,32.8,34.6,36.3,38.1,37.5,36.5,31.6,27.1,22.8,14.2,11.3,9.2,5.1,2.2,0.9,0.0,0.0,0.0,0.0, , , 
830,Channel Islands,649,N,Consumption of ozone-depleting CFCs in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
152,Chile,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,662.3,674.6,572.7,892.2,852.6,933.5,878.2,674.5,737.9,657.5,576.0,470.2,370.2,424.5,230.8,221.5,181.8,19.2,47.9,21.7,0.0,0.0,0.0,0.0, , , 
156,China,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,41829.0,50263.2,57044.6,66282.6,70778.6,75290.8,47089.0,51076.4,55414.2,42983.4,39123.6,33922.6,30621.2,22808.8,17902.5,13123.8,12414.9,5832.1,263.0,370.3,968.6,126.9,58.4,-386.6, , , 
344,"China, Hong Kong Special Administrative Region",649,N,Consumption of ozone-depleting CFCs in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
446,"China, Macao Special Administrative Region",649,N,Consumption of ozone-depleting CFCs in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
170,Colombia,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,2025.8,1686.0,,,2114.6,2156.4,2301.8,2166.4,1224.0,985.5,1149.3,1164.8,907.0,1058.1,898.5,556.9,660.4,263.1,208.0,110.6,0.0,0.0,0.0,0.0, , , 
174,Comoros,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,1.3,,,,2.3,2.3,2.9,3.6,2.5,2.7,1.9,1.8,1.2,1.1,0.9,0.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0, , , 
178,Congo,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,53.4,,,27.1,13.6,12.8,9.2,6.6,9.3,11.4,2.5,5.5,7.0,4.7,3.7,3.3,1.5,1.4,0.2,0.0,0.0,0.0,0.0, , , 
184,Cook Islands,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,0.0,,,,2.3,1.7,1.2,0.5,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , , 
188,Costa Rica,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,267.0,216.0,221.5,184.0,158.5,497.2,94.8,-204.2,152.3,105.9,144.6,137.4,142.5,111.5,96.1,55.7,27.9,13.9,6.7,0.0,0.0,0.0,0.0, , , 
384,Cote d'Ivoire,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,257.5,,204.1,342.0,354.3,383.9,144.4,267.8,166.2,206.4,148.0,106.5,93.4,79.4,70.1,85.5,50.0,20.0,12.0,0.0,0.0,0.0,0.0, , , 
191,Croatia,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,464.0,337.0,433.8,252.8,314.0,193.5,184.1,280.4,85.7,141.5,171.2,113.8,140.1,88.7,78.2,43.5,-31.4,-5.0,0.0,0.0,0.0,0.0,0.0,, , , 
192,Cuba,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,778.4,327.8,122.0,125.0,150.0,546.2,663.8,665.4,531.4,571.4,533.7,504.0,488.8,481.0,445.1,208.6,239.5,83.5,74.4,0.0,0.0,0.0,0.0,0.0, , , 
196,Cyprus,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,240.1,249.0,264.7,429.3,196.4,164.6,141.0,143.0,81.0,114.9,165.0,137.6,131.8,62.5,,,,,,,,,,, , , 
203,Czech Republic,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,1038.6,403.2,369.2,49.6,11.6,7.9,11.2,5.1,2.9,3.7,-4.4,,,,,,,,,,, , , 
200,Czechoslovakia [former],649,N,Consumption of ozone-depleting CFCs in ODP metric tons, , , , , , , , , , , , , , , , , , , , , , , , , , , 
